App Name,Frequency of Use,Satisfaction Rating,What Do You Like Most?,Likelihood to Recommend,Fraud Concerns,App Improvement,Safe to Use,Data Handling,Unsolicited Messages,Comments/Suggestions
BBC News,Never,2,Customer Support,2,Unexplained data collection,Features,No,Yes,"No, never",No comments
The New York Times,Monthly,5,Design/UI,5,Suspicious permissions request,Speed/Performance,Yes,Yes,"No, never",No comments
Telegram,Daily,5,Customer Support,5,Unexplained data collection,User Interface,Yes,Not Sure,"Yes, occasionally",Suggestions for improvement
Slack,Rarely,4,Customer Support,3,Frequent crashes or slow performance,Customer Support,Yes,Not Sure,"No, never",No comments
Flipboard,Monthly,5,Customer Support,2,None,Features,Yes,Not Sure,"Yes, occasionally",No comments
Duolingo,Never,1,Features,3,Inconsistent behavior across devices,Speed/Performance,Yes,Yes,"No, never",No comments
Hulu,Weekly,2,Customer Support,4,Frequent crashes or slow performance,Bug Fixes,No,Not Sure,"Yes, occasionally",Suggestions for improvement
Netflix,Never,2,Customer Support,2,Unexplained data collection,Features,Yes,Yes,"Yes, regularly",No comments
Instagram,Daily,4,Ease of use,4,Suspicious permissions request,Speed/Performance,Not Sure,Yes,"Yes, regularly",Suggestions for improvement
Candy Crush Saga,Rarely,3,Features,1,Suspicious permissions request,Security,Yes,No,"Yes, occasionally",No comments
Skype,Never,3,Speed/Performance,5,None,Bug Fixes,No,No,"Yes, regularly",No comments
Among Us,Rarely,4,Features,3,Unexplained data collection,Customer Support,No,Not Sure,"No, never",No comments
Khan Academy,Daily,2,Design/UI,4,Inconsistent behavior across devices,Customer Support,Yes,Not Sure,"Yes, regularly",No comments
Netflix,Rarely,3,Speed/Performance,3,Unexplained data collection,Security,Not Sure,Not Sure,"Yes, occasionally",No comments
MyFitnessPal,Daily,3,Speed/Performance,1,Unexplained data collection,User Interface,No,Not Sure,"No, never",No comments
Among Us,Daily,5,Ease of use,1,None,Security,Yes,Not Sure,"Yes, regularly",No comments
Skype,Monthly,1,Speed/Performance,3,Unexplained data collection,Customer Support,Yes,Not Sure,"Yes, occasionally",No comments
Hulu,Daily,3,Customer Support,2,Unexplained data collection,Features,Not Sure,No,"Yes, regularly",Suggestions for improvement
Strava,Rarely,3,Customer Support,5,Suspicious permissions request,Speed/Performance,Not Sure,Not Sure,"Yes, regularly",No comments
Coursera,Weekly,3,Ease of use,3,None,User Interface,No,Yes,"No, never",No comments
Coursera,Daily,3,Speed/Performance,4,Suspicious permissions request,Bug Fixes,Not Sure,No,"No, never",No comments
BBC News,Rarely,5,Customer Support,5,None,Security,Not Sure,No,"Yes, occasionally",No comments
Pinterest,Rarely,1,Speed/Performance,3,None,Features,Not Sure,No,"Yes, regularly",No comments
Instagram,Monthly,2,Customer Support,5,Suspicious permissions request,Speed/Performance,Not Sure,Yes,"No, never",No comments
Instagram,Monthly,1,Features,5,None,Customer Support,No,No,"No, never",No comments
Fortnite,Monthly,5,Customer Support,1,Unexplained data collection,Customer Support,Yes,Yes,"No, never",No comments
Facebook,Monthly,5,Speed/Performance,3,Frequent crashes or slow performance,User Interface,Yes,Yes,"No, never",No comments
Spotify,Weekly,3,Design/UI,2,Frequent crashes or slow performance,User Interface,Not Sure,Yes,"Yes, occasionally",No comments
YouTube,Never,4,Design/UI,5,Frequent crashes or slow performance,Bug Fixes,Not Sure,Yes,"No, never",Suggestions for improvement
Coursera,Never,4,Features,4,Inconsistent behavior across devices,Bug Fixes,Not Sure,Not Sure,"Yes, regularly",No comments
Spotify,Never,2,Features,4,None,Security,Not Sure,Not Sure,"No, never",No comments
Coursera,Rarely,4,Speed/Performance,2,None,Customer Support,No,Not Sure,"Yes, occasionally",Suggestions for improvement
Skype,Daily,1,Design/UI,1,Frequent crashes or slow performance,Bug Fixes,Not Sure,Not Sure,"Yes, regularly",No comments
MyFitnessPal,Monthly,2,Features,5,Unexplained data collection,Bug Fixes,Not Sure,Yes,"No, never",No comments
Twitter,Never,5,Features,1,Suspicious permissions request,Customer Support,No,Not Sure,"Yes, occasionally",No comments
Flipboard,Daily,1,Customer Support,5,Frequent crashes or slow performance,Customer Support,No,Yes,"No, never",No comments
Hulu,Rarely,5,Ease of use,3,Inconsistent behavior across devices,Customer Support,Yes,No,"No, never",No comments
BBC News,Rarely,3,Customer Support,5,Unexplained data collection,Customer Support,No,Yes,"Yes, occasionally",No comments
CNN,Monthly,2,Ease of use,5,None,User Interface,Not Sure,Yes,"Yes, regularly",Suggestions for improvement
Duolingo,Rarely,4,Features,4,None,Customer Support,Not Sure,Not Sure,"No, never",No comments
Skype,Monthly,2,Features,5,Suspicious permissions request,Bug Fixes,No,Yes,"Yes, regularly",No comments
BBC News,Rarely,3,Speed/Performance,3,None,Features,Not Sure,Yes,"Yes, regularly",Suggestions for improvement
Quizlet,Monthly,4,Features,1,Inconsistent behavior across devices,Customer Support,Not Sure,Not Sure,"No, never",No comments
WhatsApp,Never,5,Speed/Performance,5,Unexplained data collection,Bug Fixes,Not Sure,No,"Yes, occasionally",No comments
Khan Academy,Monthly,1,Features,1,Inconsistent behavior across devices,Features,Not Sure,Not Sure,"Yes, regularly",No comments
Skype,Rarely,5,Features,4,Frequent crashes or slow performance,Speed/Performance,Not Sure,No,"No, never",Suggestions for improvement
Quizlet,Never,4,Design/UI,3,Inconsistent behavior across devices,Features,No,No,"Yes, occasionally",No comments
Flipboard,Never,5,Speed/Performance,2,Frequent crashes or slow performance,Features,Yes,Not Sure,"Yes, regularly",No comments
Fortnite,Rarely,5,Speed/Performance,1,Inconsistent behavior across devices,Customer Support,Not Sure,No,"Yes, occasionally",No comments
Trello,Weekly,1,Ease of use,3,None,Security,No,Not Sure,"Yes, regularly",No comments
Khan Academy,Rarely,4,Features,2,Unexplained data collection,Security,Not Sure,No,"Yes, occasionally",Suggestions for improvement
Facebook Messenger,Monthly,3,Features,5,Suspicious permissions request,User Interface,No,Not Sure,"Yes, occasionally",No comments
Flipboard,Rarely,4,Features,2,Frequent crashes or slow performance,Security,No,Yes,"Yes, occasionally",No comments
Facebook Messenger,Weekly,4,Customer Support,3,Frequent crashes or slow performance,Bug Fixes,No,Yes,"Yes, regularly",No comments
Among Us,Daily,2,Speed/Performance,4,Inconsistent behavior across devices,User Interface,Yes,No,"Yes, regularly",No comments
BBC News,Monthly,5,Ease of use,5,Suspicious permissions request,Speed/Performance,No,No,"No, never",Suggestions for improvement
Among Us,Rarely,5,Design/UI,3,Suspicious permissions request,Customer Support,No,Not Sure,"Yes, regularly",No comments
PUBG Mobile,Never,3,Features,1,Inconsistent behavior across devices,Speed/Performance,Yes,Yes,"Yes, occasionally",No comments
Instagram,Monthly,5,Features,1,None,Bug Fixes,Not Sure,Not Sure,"No, never",No comments
